id,sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,days_b_scree-1i-1g_arrest,c_days_from_compas,c_charge_degree,is_recid,r_charge_degree,r_days_from_arrest,violent_recid,is_violent_recid,vr_charge_degree,type_of_assessment,v_type_of_assessment,start,end,event,two_year_recid,score_text
138,Male,26,25-45,Caucasian,0,0,0,7,0,1,F,1,(M1),1,N,0,N,Risk of Recidivism,Risk of Violence,0,377,1,1,High
139,Male,21,Less_than_25,Other,0,0,0,1,0,1,F,1,(M1),0,N,0,N,Risk of Recidivism,Risk of Violence,4,253,1,1,High
142,Male,25,25-45,Caucasian,0,0,0,9,-1,1,F,1,(M2),-1,N,1,(M1),Risk of Recidivism,Risk of Violence,0,145,1,1,High
143,Male,71,Greater_than_45,African-American,0,0,0,12,-1,804,M,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,1183,0,0,High
145,Female,20,Less_than_25,Caucasian,0,0,0,0,-1,1,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,869,0,0,High
146,Male,39,25-45,Caucasian,0,0,0,2,-2,3,F,1,(F3),0,N,0,N,Risk of Recidivism,Risk of Violence,0,63,1,1,Low
147,Male,66,Greater_than_45,Caucasian,0,0,0,3,-64,64,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,877,0,0,Low
148,Female,54,Greater_than_45,Caucasian,0,0,0,0,0,1,M,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,1082,0,0,Low
150,Female,44,25-45,Hispanic,0,0,0,0,-2,2,M,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,955,0,0,Low
151,Male,19,Less_than_25,African-American,0,0,0,1,-10,10,M,1,(M1),0,N,1,(F3),Risk of Recidivism,Risk of Violence,0,104,1,1,Low
152,Male,24,Less_than_25,African-American,0,0,0,1,-137,137,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,503,0,0,Low
153,Male,30,25-45,African-American,0,0,0,1,-1,1,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,935,0,0,Low
154,Female,39,25-45,Caucasian,0,0,0,0,-1,1,F,1,(M1),1,N,1,(M1),Risk of Recidivism,Risk of Violence,1,52,1,1,Low
156,Male,24,Less_than_25,Caucasian,0,1,2,8,-1,0,F,1,(F2),1,N,0,N,Risk of Recidivism,Risk of Violence,11,27,1,1,High
157,Male,30,25-45,Caucasian,0,0,0,0,-1,1,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,5,497,0,0,Low
158,Male,31,25-45,Caucasian,0,0,0,0,-1,1,M,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,38,770,0,0,High
159,Female,39,25-45,Caucasian,0,0,0,1,-1,1,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,106,392,0,0,Low
160,Male,59,Greater_than_45,African-American,0,0,0,14,178,265,F,1,(F3),0,N,1,(F3),Risk of Recidivism,Risk of Violence,0,178,1,1,High
163,Male,43,25-45,Caucasian,0,0,0,1,-30,30,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,960,0,0,Low
166,Male,21,Less_than_25,African-American,0,0,0,3,-1,1,F,1,(M1),0,N,0,N,Risk of Recidivism,Risk of Violence,5,24,1,1,High
169,Male,38,25-45,Caucasian,0,0,0,5,-1,1,M,1,(F3),0,N,0,N,Risk of Recidivism,Risk of Violence,2,55,1,1,Low
171,Male,34,25-45,Caucasian,0,0,0,0,0,0,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,15,441,0,0,High
173,Male,33,25-45,African-American,0,0,0,5,0,1,F,1,(M1),-1,N,0,N,Risk of Recidivism,Risk of Violence,0,345,1,1,High
174,Male,37,25-45,African-American,0,0,0,3,0,0,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,1,102,0,0,Low
175,Male,42,25-45,Caucasian,0,0,0,1,0,1,F,1,(F3),1,N,0,N,Risk of Recidivism,Risk of Violence,1,2,1,1,Low
176,Male,41,25-45,African-American,0,1,0,10,0,0,F,1,(M1),0,N,0,N,Risk of Recidivism,Risk of Violence,176,285,1,1,High
177,Male,22,Less_than_25,African-American,0,0,0,0,-1,1,F,1,(F3),362,N,0,N,Risk of Recidivism,Risk of Violence,0,394,1,1,Low
178,Male,33,25-45,African-American,0,12,2,28,-1,1,F,1,(M2),0,N,0,N,Risk of Recidivism,Risk of Violence,1,83,1,1,High
180,Male,31,25-45,African-American,0,0,0,1,-1,1,M,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,900,0,0,High
182,Female,30,25-45,Other,0,0,0,1,-1,1,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,97,0,0,Low
183,Male,31,25-45,Caucasian,0,0,0,13,-1,0,F,1,(F2),-1,N,1,(M1),Risk of Recidivism,Risk of Violence,0,55,1,1,High
184,Male,27,25-45,African-American,0,0,0,3,-1,1,F,1,(F3),-1,N,0,N,Risk of Recidivism,Risk of Violence,0,249,1,1,High
187,Male,56,Greater_than_45,African-American,0,0,0,8,67,79,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,67,0,0,High
189,Male,52,Greater_than_45,Caucasian,0,0,0,3,-2,2,M,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,977,0,0,High
190,Male,33,25-45,African-American,0,0,0,19,-1,1,F,1,(M2),-1,N,0,N,Risk of Recidivism,Risk of Violence,0,222,0,1,High
192,Female,64,Greater_than_45,Caucasian,0,0,0,2,-47,48,M,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,732,0,0,Low
193,Male,22,Less_than_25,Caucasian,0,0,0,4,-36,36,F,1,(M2),-1,N,0,N,Risk of Recidivism,Risk of Violence,0,139,0,1,High
194,Male,42,25-45,Caucasian,0,0,0,6,-4,5,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,408,0,0,Low
195,Female,25,25-45,Caucasian,0,0,0,2,-1,1,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,2,359,0,0,Low
197,Male,30,25-45,Caucasian,0,0,0,1,-20,20,M,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,864,0,0,Low
199,Male,28,25-45,Caucasian,0,0,0,2,-1,161,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,946,0,0,Low
200,Female,37,25-45,Other,0,0,0,2,-1,222,M,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,1,823,0,0,Low
202,Male,28,25-45,Caucasian,0,0,0,0,-1,1,M,1,(M1),0,N,0,N,Risk of Recidivism,Risk of Violence,0,60,0,1,Low
203,Female,24,Less_than_25,African-American,0,0,0,0,-1,1,M,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,1,784,0,0,Low
206,Female,29,25-45,Caucasian,0,1,0,10,-1,1,F,1,(F3),1,N,0,N,Risk of Recidivism,Risk of Violence,6,40,0,1,Low
208,Male,44,25-45,Caucasian,0,0,0,2,0,1,M,1,(M1),-1,N,0,N,Risk of Recidivism,Risk of Violence,0,216,1,1,Low
209,Female,30,25-45,Hispanic,0,0,0,4,-35,36,F,1,(M1),1,N,1,(M1),Risk of Recidivism,Risk of Violence,0,37,1,1,High
210,Male,32,25-45,African-American,0,0,0,3,-1,1,F,1,(F3),-1,N,0,N,Risk of Recidivism,Risk of Violence,7,413,0,1,High
213,Male,31,25-45,Caucasian,0,0,0,2,-16,16,M,1,(M1),-1,N,0,N,Risk of Recidivism,Risk of Violence,0,48,1,1,Low
215,Male,31,25-45,African-American,0,0,0,1,-1,1,M,1,(M2),-1,N,0,N,Risk of Recidivism,Risk of Violence,0,1140,1,0,Low
216,Male,59,Greater_than_45,Caucasian,0,0,0,1,-1,1,F,1,(M2),5,N,0,N,Risk of Recidivism,Risk of Violence,0,164,1,1,Low
218,Female,45,Greater_than_45,Caucasian,0,0,0,4,-1,375,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,1073,0,0,Low
220,Female,20,Less_than_25,African-American,1,0,0,1,0,0,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,3,119,0,0,High
222,Female,43,25-45,Caucasian,0,0,0,0,0,0,M,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,1,1053,0,0,Low
223,Male,38,25-45,African-American,1,1,0,9,-1,1,F,1,(M1),0,N,0,N,Risk of Recidivism,Risk of Violence,12,129,1,1,High
224,Male,32,25-45,African-American,0,0,0,11,-2,2,F,1,(F3),0,N,1,(F1),Risk of Recidivism,Risk of Violence,0,24,1,1,High
225,Male,33,25-45,African-American,0,0,0,8,-1,1,M,1,(M1),-1,N,1,(M1),Risk of Recidivism,Risk of Violence,0,187,1,1,High
227,Female,31,25-45,African-American,0,0,0,0,-1,1,F,1,(M2),39,N,0,N,Risk of Recidivism,Risk of Violence,1,76,0,1,Low
228,Female,33,25-45,African-American,0,0,0,7,-1,1,F,1,(M2),0,N,0,N,Risk of Recidivism,Risk of Violence,25,275,1,1,High
229,Male,27,25-45,African-American,0,0,0,2,-1,1,F,1,(M1),0,N,0,N,Risk of Recidivism,Risk of Violence,0,18,0,1,High
231,Female,20,Less_than_25,African-American,0,0,0,0,0,1,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,846,0,0,High
232,Female,26,25-45,Caucasian,0,0,0,0,-2,2,M,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,795,0,0,High
234,Female,61,Greater_than_45,African-American,0,0,0,1,-1,1,F,1,(M2),-1,N,0,N,Risk of Recidivism,Risk of Violence,0,544,1,1,Low
235,Male,52,Greater_than_45,Other,0,0,0,13,-1,1,F,1,(M2),0,N,0,N,Risk of Recidivism,Risk of Violence,1,36,0,1,High
236,Male,63,Greater_than_45,Hispanic,0,0,0,1,-26,26,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,786,0,0,Low
238,Female,32,25-45,African-American,0,0,0,4,-7,7,F,1,(F3),0,N,1,(F3),Risk of Recidivism,Risk of Violence,0,395,1,1,High
239,Male,29,25-45,Hispanic,0,0,0,1,-1,1,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,938,0,0,Low
240,Female,46,Greater_than_45,Other,0,0,0,1,-1,72,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,1177,0,0,Low
241,Female,26,25-45,African-American,0,0,0,2,-1,1,M,1,(M2),-1,N,0,N,Risk of Recidivism,Risk of Violence,0,229,1,1,Low
242,Male,55,Greater_than_45,African-American,0,0,0,3,-51,52,M,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,1009,0,0,Low
243,Male,39,25-45,Caucasian,1,0,0,1,-1,1672,M,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,3,780,0,0,Low
244,Female,30,25-45,Caucasian,0,0,0,3,0,1,F,1,(F3),554,N,0,N,Risk of Recidivism,Risk of Violence,0,14,1,1,High
245,Male,30,25-45,African-American,0,0,0,1,0,1,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,70,367,0,0,High
246,Male,48,Greater_than_45,Caucasian,0,0,0,2,-1,1,M,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,918,0,0,Low
248,Male,22,Less_than_25,African-American,0,0,0,1,-1,1,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,547,0,0,Low
249,Male,46,Greater_than_45,Caucasian,0,0,0,6,22,31,F,1,(M2),0,N,0,N,Risk of Recidivism,Risk of Violence,0,22,1,1,Low
251,Female,49,Greater_than_45,Caucasian,0,0,0,6,-56,56,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,744,0,0,High
252,Male,31,25-45,Caucasian,0,0,0,0,0,1,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,2,719,0,0,High
254,Male,25,25-45,African-American,0,0,0,1,-1,1,M,1,(M2),0,N,0,N,Risk of Recidivism,Risk of Violence,1,31,1,1,Low
257,Male,23,Less_than_25,Hispanic,0,0,0,0,-1,2,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,935,0,0,Low
258,Female,32,25-45,African-American,0,0,0,5,-1,1,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,1138,0,0,High
259,Male,52,Greater_than_45,Hispanic,0,0,0,2,-1,1,M,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,2,108,0,0,Low
260,Male,62,Greater_than_45,African-American,0,0,0,8,0,1,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,16,1151,0,0,Low
262,Female,37,25-45,Caucasian,0,0,0,6,-110,111,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,417,0,0,High
263,Male,55,Greater_than_45,Caucasian,0,0,0,1,-45,45,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,934,0,0,Low
264,Male,31,25-45,Hispanic,0,0,0,8,29,61,F,1,(M1),0,N,0,N,Risk of Recidivism,Risk of Violence,0,29,0,1,High
265,Male,28,25-45,African-American,0,0,0,6,-1,1,M,1,(M2),-1,N,1,(F2),Risk of Recidivism,Risk of Violence,0,482,1,1,High
266,Male,54,Greater_than_45,Hispanic,0,0,0,2,-1,1,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,187,946,0,0,Low
267,Male,58,Greater_than_45,Hispanic,0,0,0,0,-1,1,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,302,0,0,Low
268,Male,78,Greater_than_45,Caucasian,0,0,0,1,-1,1,M,1,(F3),-1,N,0,N,Risk of Recidivism,Risk of Violence,0,310,1,1,Low
269,Male,56,Greater_than_45,Caucasian,0,0,0,0,-1,1,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,760,0,0,Low
271,Male,24,Less_than_25,Other,0,0,0,0,-1,1,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,1,808,0,0,Low
272,Male,38,25-45,African-American,2,2,1,22,-34,35,F,1,(M1),51,N,0,N,Risk of Recidivism,Risk of Violence,0,238,1,1,High
